"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"WY","Weyerhaeuser","reports","Bienes Raíces","Specialized REITs","Seattle, Washington",NA,106535,"1900"
"WYNN","Wynn Resorts","reports","Consumo Discrecional","Casinos & Gaming","Paradise, Nevada","39766",1174922,"2002"
"XEL","Xcel Energy","reports","Utilidades","Multi-Utilities","Minneapolis, Minnesota","20883",72903,"1909"
"XOM","ExxonMobil","reports","Energía","Integrated Oil & Gas","Irving, Texas","20883",34088,"1999"
"XRAY","Dentsply Sirona","reports","Cuidado de Salud","Health Care Supplies","Charlotte, North Carolina","39766",818479,"2016 (1969)"
"XYL","Xylem Inc.","reports","Industriales","Maquinaria Industrial","White Plains, New York","40848",1524472,"2011"
"YUM","Yum! Brands","reports","Consumo Discrecional","Restaurantes","Louisville, Kentucky","35709",1041061,"1997"
"ZBH","Zimmer Biomet","reports","Cuidado de Salud","Health Care Equipment","Warsaw, Indiana","37110",1136869,"1927"
"ZBRA","Zebra Technologies","reports","Tecnología Informática","Equipo Electrónico y Instrumentos","Lincolnshire, Illinois","43822",877212,"1969"
"ZION","Zions Bancorporation","reports","Finanzas","Regional Banks","Salt Lake City, Utah","37064",109380,"1873"
"ZTS","Zoetis","reports","Cuidado de Salud","Farmacéuticos","Parsippany, New Jersey","41446",1555280,"1952"
