"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"PNC","PNC Financial Services","reports","Finanzas","Regional Banks","Pittsburgh, Pennsylvania","32263",713676,"1845"
"PNR","Pentair","reports","Industriales","Maquinaria Industrial","Worsley, United Kingdom","41183",77360,"1966"
"PNW","Pinnacle West","reports","Utilidades","Multi-Utilities","Phoenix, Arizona",NA,764622,"1985"
"POOL","Pool Corporation","reports","Consumo Discrecional","Distribuidores","Covington, Louisiana","44111",945841,"1993"
"PPG","PPG Industries","reports","Materiales","Químicos Especiales","Pittsburgh, Pennsylvania","20883",79879,"1883"
"PPL","PPL Corporation","reports","Utilidades","Electric Utilities","Allentown, Pennsylvania",NA,922224,"1920"
"PRU","Prudential Financial","reports","Finanzas","Life & Health Insurance","Newark, New Jersey","37459",1137774,"1875"
"PSA","Public Storage","reports","Bienes Raíces","Specialized REITs","Glendale, California","38583",1393311,"1972"
"PSX","Phillips 66","reports","Energía","Oil & Gas Refining & Marketing","Houston, Texas","41030",1534701,"2012 (1917)"
"PTC","PTC","reports","Tecnología Informática","Software de Aplicación","Boston, Massachusetts","44306",857005,"1985"
"PWR","Quanta Services","reports","Industriales","Construcción e Ingeniería","Houston, Texas","39995",1050915,"1997"
"PXD","Pioneer Natural Resources","reports","Energía","Oil & Gas Exploration & Production","Irving, Texas","39715",1038357,"1997"
"PYPL","PayPal","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","San Jose, California","42205",1633917,"1998"
"QCOM","Qualcomm","reports","Tecnología Informática","Semiconductores","San Diego, California",NA,804328,"1985"
"QRVO","Qorvo","reports","Tecnología Informática","Semiconductores","Greensboro, North Carolina","42166",1604778,"2015"
"RCL","Royal Caribbean Group","reports","Consumo Discrecional","Hotels, Resorts & Cruise Lines","Miami, Florida","41978",884887,"1997"
"REG","Regency Centers","reports","Bienes Raíces","Retail REITs","Jacksonville, Florida","42796",910606,"1963"
"REGN","Regeneron","reports","Cuidado de Salud","Biotecnología","Tarrytown, New York","41395",872589,"1988"
"RF","Regions Financial Corporation","reports","Finanzas","Regional Banks","Birmingham, Alabama","36035",1281761,"1971"
"RHI","Robert Half","reports","Industriales","Servicios de Recursos Humanos y Empleo","Menlo Park, California","36865",315213,"1948"
"RJF","Raymond James","reports","Finanzas","Investment Banking & Brokerage","St. Petersburg, Florida","42814",720005,"1962"
"RL","Ralph Lauren Corporation","reports","Consumo Discrecional","Apparel, Accessories & Luxury Goods","New York City, New York","39115",1037038,"1967"
"RMD","ResMed","reports","Cuidado de Salud","Health Care Equipment","San Diego, California","42942",943819,"1989"
"ROK","Rockwell Automation","reports","Industriales","Componentes y Equipo Eléctrico","Milwaukee, Wisconsin",NA,1024478,"1903"
"ROL","Rollins, Inc.","reports","Industriales","Servicios Ambientales y de Comodidades","Atlanta, Georgia","43374",84839,"1948"
"ROP","Roper Technologies","reports","Tecnología Informática","Equipo Electrónico y Instrumentos","Sarasota, Florida","40170",882835,"1981"
"ROST","Ross Stores","reports","Consumo Discrecional","Apparel Retail","Dublin, California","40168",745732,"1982"
"RSG","Republic Services","reports","Industriales","Servicios Ambientales y de Comodidades","Phoenix, Arizona","39787",1060391,"1998 (1981)"
"RTX","Raytheon Technologies","reports","Industriales","Aeroespacial y Defensa","Waltham, Massachusetts",NA,101829,"1922"
"SBAC","SBA Communications","reports","Bienes Raíces","Specialized REITs","Boca Raton, Florida","42979",1034054,"1989"
