"Fecha","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
2016-12-01,265.290008544922,266.529998779297,264.309997558594,266.399993896484,874900,223.165008544922
2016-12-02,266.579986572266,268.149993896484,266.010009765625,267.619995117188,1091000,224.18701171875
2016-12-05,268.950012207031,269.899993896484,266.309997558594,266.929992675781,1270300,223.609008789062
2016-12-06,265.829986572266,266.799987792969,264.010009765625,266,1145900,222.829940795898
2016-12-07,266.070007324219,267,264.350006103516,266.380004882812,1269400,223.148239135742
2016-12-08,266.380004882812,266.380004882812,258.609985351562,259.25,2767300,217.175399780273
2016-12-09,258.600006103516,260.220001220703,258.059997558594,259.529998779297,1545300,217.40998840332
2016-12-12,251.779998779297,253.699996948242,245.5,253.110000610352,7080300,212.031921386719
2016-12-13,254.669998168945,255.5,250.119995117188,251.690002441406,2519200,210.842315673828
2016-12-14,252.309997558594,254.830001831055,252.080001831055,252.300003051758,1844900,211.353332519531
2016-12-15,252.339996337891,253.309997558594,250.410003662109,250.649993896484,1855600,209.971115112305
2016-12-16,251.279998779297,252.789993286133,249.029998779297,250.080001831055,2138100,209.493621826172
2016-12-19,249.539993286133,252.460006713867,249.539993286133,252.179992675781,1045600,211.252822875977
2016-12-20,252.179992675781,253.779998779297,252.100006103516,253.729995727539,900200,212.551239013672
2016-12-21,254.5,254.5,252.279998779297,252.520004272461,819600,211.537643432617
2016-12-22,252.009994506836,253.5,251.100006103516,252.800003051758,831100,211.772216796875
2016-12-23,248.169998168945,251.880004882812,247.009994506836,249.589996337891,2086400,209.083129882812
2016-12-27,250.779998779297,251.75,250.199996948242,250.860000610352,788800,210.147033691406
2016-12-28,250.440002441406,251,248.520004272461,249.580001831055,1007700,209.074783325195
2016-12-29,250.190002441406,251.919998168945,249.449996948242,250.589996337891,900900,209.9208984375
2016-12-30,250.529998779297,251.320007324219,248.779998779297,249.940002441406,1058100,209.376358032227
2017-01-03,251.199996948242,254.110000610352,250.759994506836,253.309997558594,1667700,212.199432373047
2017-01-04,254.100006103516,254.899993896484,253.339996337891,253.990005493164,1077600,212.769088745117
2017-01-05,254.369995117188,258.019989013672,254.100006103516,255.979995727539,1279200,214.436065673828
2017-01-06,255.479995727539,258.570007324219,255.479995727539,257.850006103516,1246000,216.002624511719
2017-01-09,258,258.989990234375,257.429992675781,257.809997558594,1067100,215.969100952148
2017-01-10,258.160003662109,258.959991455078,256.170013427734,256.170013427734,1146400,214.595291137695
2017-01-11,256.299987792969,257,251.710006713867,255.130004882812,1613000,213.724060058594
2017-01-12,254.910003662109,255.330001831055,251.309997558594,252.619995117188,1153300,211.621383666992
2017-01-13,252.740005493164,255.949996948242,252.020004272461,254.529998779297,1162000,213.221405029297
2017-01-17,253.460006713867,254.339996337891,252.059997558594,254.119995117188,1431000,212.877944946289
2017-01-18,254.100006103516,254.729995727539,252.940002441406,254.070007324219,925300,212.836090087891
2017-01-19,255.570007324219,257.440002441406,255.190002441406,257.029998779297,1076500,215.315704345703
2017-01-20,257.959991455078,258.079986572266,256.100006103516,257.730010986328,1184400,215.902130126953
2017-01-23,258.149993896484,259.739990234375,255.020004272461,257.480010986328,1606300,215.692687988281
2017-01-24,250.380004882812,253.449996948242,249.020004272461,252.910003662109,2985000,211.864349365234
2017-01-25,253.059997558594,254.330001831055,248,251,2329900,210.264373779297
2017-01-26,250,254.990005493164,249.550003051758,254.970001220703,1956700,213.59001159668
2017-01-27,254.979995727539,259.119995117188,250.130004882812,253.5,2597200,212.358612060547
2017-01-30,254.330001831055,256.279998779297,251.880004882812,252.830001831055,1537400,211.797332763672
2017-01-31,252.320007324219,252.5,249.960006713867,251.330001831055,1276300,210.540771484375
2017-02-01,250.830001831055,252.559997558594,249.979995727539,250.899993896484,1210400,210.180526733398
2017-02-02,250.899993896484,252.169998168945,250.339996337891,251.970001220703,1045700,211.076904296875
2017-02-03,252.669998168945,256.459991455078,251.5,254.460006713867,1803700,213.162811279297
2017-02-06,254.429992675781,257.070007324219,254.110000610352,255.309997558594,980800,213.874816894531
2017-02-07,256,257.299987792969,255.580001831055,256.369995117188,977800,214.762817382812
2017-02-08,256.929992675781,257.809997558594,256.399993896484,256.739990234375,973400,215.07275390625
2017-02-09,256.739990234375,259.040008544922,256.739990234375,258.200012207031,869300,216.295837402344
2017-02-10,258.480010986328,260.920013427734,258,260.549987792969,748800,218.264419555664
2017-02-13,261.049987792969,263.109985351562,261.019989013672,262.350006103516,906700,219.77229309082
2017-02-14,262.190002441406,263.160003662109,261.850006103516,262.559997558594,824200,219.948211669922
2017-02-15,262,263.760009765625,261.070007324219,263.459991455078,1063800,220.702133178711
2017-02-16,263.920013427734,265.399993896484,262.730010986328,265.329986572266,858500,222.268661499023
2017-02-17,264.709991455078,265.429992675781,263.5,265.350006103516,882100,222.285415649414
2017-02-21,264.809997558594,266.070007324219,264.190002441406,265.660003662109,957300,222.545135498047
2017-02-22,265,266.019989013672,264.209991455078,265.920013427734,712700,222.762939453125
2017-02-23,266.309997558594,266.309997558594,263.769989013672,264.850006103516,1008300,221.866607666016
2017-02-24,264.570007324219,266,263.179992675781,266,929200,222.829940795898
2017-02-27,265,270,264.200012207031,269.359985351562,1499700,227.199096679688
2017-02-28,269.640014648438,269.720001220703,266.450012207031,266.579986572266,2049400,224.854278564453
